Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status,Collection
AB020A,Artist Brush Set: 'Stubbies' Smooth Handle Bristle x3 Wood Handle - Round #2/4/6,"Smooth handle bristle,package of 3 pieces wood handle.The maximum hold natural bristles allow for smooth application of thick mediums & textured paint. Great for DIY Craft & Decor painting and stenciling projects. These premium quality brushes are an essential for every artist!",Dollareh,Paint Brushes,Paint Brushes,imported,TRUE,,,,,,,,10,Shopify,12,deny,manual,3.56,,TRUE,TRUE,,https://dollarehstoreca.github.io/img/AB020A.webp,,,,,,,,,,,,,,,,,,,,g,,,,,active,Paint Brushes & Sponges
AB020A,,,,,,,,,,,,,,,,,,,,,,,,,https://dollarehstoreca.github.io/img/AB020A-1.webp,,,,,,,,,,,,,,,,,,,,,,,,,,
AB020A,,,,,,,,,,,,,,,,,,,,,,,,,https://dollarehstoreca.github.io/img/AB020A-2.webp,,,,,,,,,,,,,,,,,,,,,,,,,,
