"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant SKU","Variant Grams","Variant Inventory Tracker","Variant Inventory Qty","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Variant Barcode","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Google Shopping / Google Product Category","Google Shopping / Gender","Google Shopping / Age Group","Google Shopping / MPN","Google Shopping / AdWords Grouping","Google Shopping / AdWords Labels","Google Shopping / Condition","Google Shopping / Custom Product","Google Shopping / Custom Label 0","Google Shopping / Custom Label 1","Google Shopping / Custom Label 2","Google Shopping / Custom Label 3","Google Shopping / Custom Label 4","Variant Image","Variant Weight Unit","Variant Tax Code","Cost per item","Price / International","Compare At Price / International","Status"
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/080445174260.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/080445174261.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"PA480","Color Factory Tool: Watercolor Pencils x8 3.0mm","Mix Pencils with water to create a watercolor paint effect. Great for adding fine detail to painting and sketches.","Dollareh","colfact~paints~watercolor","colfact~paints","Imported","TRUE",,,,,,,,,"shopify",,"deny","manual",,,"TRUE","TRUE",,"https://multicraft.ca/pics/01/050902600794.jpg",,,,,,,,,,,,,,,,,,,,"g",,,,,"active"
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/062755959625.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/062755959626.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/062755959627.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"PA481","Color Factory Tool: Watercolor Pencil Set 24ct 3.0mm","This watercolor pencil set offers the versatility of colored pencils with the added ability to create vibrant watercolor effects when activated with water. The pencils are ideal for both detailed drawing and expressive, painterly techniques. The detail brush tip allows for creative effects on any project by adding a controlled amount of water with the specially designed valve system. Perfect for creating at home or on the go!","Dollareh","colfact~paints~watercolor","colfact~paints","Imported","TRUE",,,,,,,,,"shopify",,"deny","manual",,,"TRUE","TRUE",,"https://multicraft.ca/pics/01/112119498744.jpg",,,,,,,,,,,,,,,,,,,,"g",,,,,"active"
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/112119498745.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/112119498746.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","https://multicraft.ca/pics/01/112119498747.jpg","","","","","","","","","","","","","","","","","","","","","","","","",""
